n_compared,mae_score,mae_category,rmse_category,mape_category,r2_category,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,qwk,spearman_category,cat1_precision,cat1_recall,cat1_f1,cat1_support,cat2_precision,cat2_recall,cat2_f1,cat2_support,cat3_precision,cat3_recall,cat3_f1,cat3_support,cat4_precision,cat4_recall,cat4_f1,cat4_support,cat5_precision,cat5_recall,cat5_f1,cat5_support,dataset
4,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,4,,,,0,,,,0,,,,0,,,,0,PC_Games_
20,7.5,0.25,0.5,15.0,0.8803827751196173,0.75,0.8266666666666665,0.8,0.7564102564102564,0.8533333333333333,0.75,0.7628205128205128,0.9338624338624338,0.9383670894443844,1.0,0.5,0.6666666666666666,2,0.8,0.5,0.6153846153846154,8,0.3333333333333333,1.0,0.5,2,1.0,1.0,1.0,2,1.0,1.0,1.0,6,Patient_Demographics_&_Lifestyle_Data__
20,17.5,0.75,1.161895003862225,62.083333333333336,0.43983402489626555,0.5,0.5042857142857142,0.4766666666666667,0.5434523809523809,0.6853571428571428,0.5,0.518671679197995,0.6945701357466063,0.8634557276037987,1.0,0.25,0.4,8,0.0,0.0,,1,0.2,0.3333333333333333,0.25,3,0.5714285714285714,0.8,0.6666666666666666,5,0.75,1.0,0.8571428571428571,3,Personal_Finance_ML_Dataset__
15,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,15,,,,0,,,,0,,,,0,,,,0,Plants___
5,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,5,,,,0,,,,0,,,,0,,,,0,Play_Tennis_(Practice_dataset_for_classification)_
9,10.555555555555555,0.4444444444444444,1.3333333333333333,44.44444444444444,,0.8888888888888888,0.5,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,0.9411764705882353,0.0,,1.0,0.8888888888888888,0.9411764705882353,9,,,,0,,,,0,,,,0,0.0,,,0,Pokemon_with_stats__
15,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,,,,0,,,,0,,,,0,1.0,1.0,1.0,5,Police_Data__
27,1.1111111111111112,0.07407407407407407,0.2721655269759087,4.62962962962963,0.9137380191693291,0.9259259259259259,0.5,0.6533333333333333,0.9897959183673469,1.0,0.9259259259259259,0.9803767660910517,0.9527972027972028,0.8322397195638238,1.0,0.96,0.9795918367346939,25,0.0,,,0,0.0,,,0,,0.0,,1,1.0,1.0,1.0,1,Police_deaths_in_USA_from_1791_to_2022_
9,2.2222222222222223,0.1111111111111111,0.3333333333333333,11.11111111111111,0.96875,0.8888888888888888,0.75,0.9333333333333332,0.9629629629629629,1.0,0.8888888888888888,0.9382716049382717,0.9837837837837837,0.951661902861773,1.0,0.8,0.888888888888889,5,0.0,,,0,,,,0,1.0,1.0,1.0,1,1.0,1.0,1.0,3,Predicting_Parole_Violators_
13,10.0,0.38461538461538464,1.1435437497937313,38.46153846153847,0.6202749140893471,0.8461538461538461,0.7,0.9047619047619048,0.9074074074074074,0.9384615384615385,0.8461538461538461,0.8760683760683761,0.8103004291845494,0.8039330096961947,1.0,0.7142857142857143,0.8333333333333333,7,0.0,,,0,,,,0,1.0,1.0,1.0,2,0.8,1.0,0.888888888888889,4,Prison_And_Prisoners_
